city,forecast_date,nasa_latest_used,run_timestamp,target,unit,actual,is_om_sourced,ensemble,MV_HLSTM_GRU,MV_GRU,UV_HLSTM_GRU,UV_GRU,adjustment_applied,err_ensemble,abs_err_ensemble,err_MV_HLSTM_GRU,abs_err_MV_HLSTM_GRU,err_MV_GRU,abs_err_MV_GRU,err_UV_HLSTM_GRU,abs_err_UV_HLSTM_GRU,err_UV_GRU,abs_err_UV_GRU
Mumbai,2026-06-12,2026-06-09,2026-06-12T09:44:15.114702,PRmsl,Pa,100685.5779,True,100502.6814,100541.0409,100685.0291,100499.776,100284.8795,False,-182.8965,182.8965,-144.537,144.537,-0.5488,0.5488,-185.8019,185.8019,-400.6984,400.6984
Mumbai,2026-06-12,2026-06-09,2026-06-12T09:44:15.114702,RH2m,%,66.7729,True,72.754,65.7577,84.242,68.4178,72.5984,False,5.9811,5.9811,-1.0152,1.0152,17.4691,17.4691,1.6449,1.6449,5.8255,5.8255
Mumbai,2026-06-12,2026-06-09,2026-06-12T09:44:15.114702,TMP2m,C,31.3508,True,30.7218,30.3973,27.6357,31.0897,33.7644,False,-0.629,0.629,-0.9535,0.9535,-3.7151,3.7151,-0.2611,0.2611,2.4136,2.4136
Mumbai,2026-06-12,2026-06-09,2026-06-12T23:48:53.550389,PRmsl,Pa,100685.5779,True,100502.6814,100541.0409,100685.0291,100499.776,100284.8795,False,-182.8965,182.8965,-144.537,144.537,-0.5488,0.5488,-185.8019,185.8019,-400.6984,400.6984
Mumbai,2026-06-12,2026-06-09,2026-06-12T23:48:53.550389,RH2m,%,66.7729,True,72.754,65.7577,84.242,68.4178,72.5984,False,5.9811,5.9811,-1.0152,1.0152,17.4691,17.4691,1.6449,1.6449,5.8255,5.8255
Mumbai,2026-06-12,2026-06-09,2026-06-12T23:48:53.550389,TMP2m,C,31.3508,True,30.7218,30.3973,27.6357,31.0897,33.7644,False,-0.629,0.629,-0.9535,0.9535,-3.7151,3.7151,-0.2611,0.2611,2.4136,2.4136
Mumbai,2026-06-12,2026-06-09,2026-06-12T23:58:32.612077,PRmsl,Pa,100685.5779,True,100502.6814,100541.0409,100685.0291,100499.776,100284.8795,False,-182.8965,182.8965,-144.537,144.537,-0.5488,0.5488,-185.8019,185.8019,-400.6984,400.6984
Mumbai,2026-06-12,2026-06-09,2026-06-12T23:58:32.612077,RH2m,%,66.7729,True,72.754,65.7577,84.242,68.4178,72.5984,False,5.9811,5.9811,-1.0152,1.0152,17.4691,17.4691,1.6449,1.6449,5.8255,5.8255
Mumbai,2026-06-12,2026-06-09,2026-06-12T23:58:32.612077,TMP2m,C,31.3508,True,30.7218,30.3973,27.6357,31.0897,33.7644,False,-0.629,0.629,-0.9535,0.9535,-3.7151,3.7151,-0.2611,0.2611,2.4136,2.4136
Delhi,2026-06-12,2026-06-09,2026-06-12T09:45:11.558579,PRmsl,Pa,99795.0774,True,100269.5816,99973.446,100493.0212,100124.6963,100487.1626,False,474.5042,474.5042,178.3686,178.3686,697.9438,697.9438,329.6189,329.6189,692.0852,692.0852
